,date,symbol,reportedCurrency,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,sellingGeneralAndAdministrativeExpenses,operatingIncome,interestIncome,interestExpense,incomeBeforeTax,netIncome,operatingIncomeRatio,fillingDate,totalCurrentAssets,totalNonCurrentAssets,totalAssets,totalCurrentLiabilities,totalNonCurrentLiabilities,totalLiabilities,totalEquity,totalLiabilitiesAndTotalEquity,netCashProvidedByOperatingActivities,netCashUsedForInvestingActivites,netCashUsedProvidedByFinancingActivities,cashAtBeginningOfPeriod,cashAtEndOfPeriod,company_name,ceo,phone,website,state,city,country,address,zip,sector,exchangeShortName,exchange,description
10,2020-12-31,MLECO.PA,EUR,2020-12-31,2020-12-31,2020,FY,642951.72,0,0,239608.51,220608.12,0,344138.48,344138.48,0.372669522,2020-12-31,493727.39,5892330.45,6386057.84,31850,32528.75,64378.75,6321679.09,6386057.84,-757973.64,-316.02,1265155.7,2902340.19,3399770.78,,,,,,,,,,,,,
11,2019-12-31,MLECO.PA,EUR,2019-12-31,2019-12-31,2019,FY,466560.76,0,0,-31196.02,215212.78,22836,161181.76,161181.76,-0.066863789,2019-12-31,145903.91,5939959.41,6085863.32,2100,106222.71,108322.71,5977540.61,6085863.32,-15816000,-81000,7998000,10827000,2902000,,,,,,,,,,,,,
12,2020-12-31,ADVI.PA,EUR,2020-12-31,2020-12-31,2020,FY,247906000,161237000,29334000,470000,0,1953000,-2843000,-4083000,0.00189588,2020-12-31,187647000,200404000,388051000,179061000,114983000,294044000,94007000,388051000,11320000,-6647000,44578000,-84266000,-35361000,AdVini S.A.,Mr. Antoine Leccia,33467888000,https://www.advini.com,OCCITANIE,SAINT FELIX DE LODEZ,FR,L'Enclos,34725,Consumer Defensive,EURONEXT,Paris,"AdVini S.A. produces, markets, and distributes wines in France and internationally. The company was founded in 1870 and is headquartered in Clermont-l'H?rault, France."
13,2019-12-31,ADVI.PA,EUR,2019-12-31,2019-12-31,2019,FY,266582000,166998000,34538000,4001000,132000,2368000,3354000,3311000,0.015008515,2019-12-31,184873000,207210000,392083000,205807000,80913000,286720000,105363000,392083000,44525000,-10097000,-15034000,-103675000,-84266000,AdVini S.A.,Mr. Antoine Leccia,33467888000,https://www.advini.com,OCCITANIE,SAINT FELIX DE LODEZ,FR,L'Enclos,34725,Consumer Defensive,EURONEXT,Paris,"AdVini S.A. produces, markets, and distributes wines in France and internationally. The company was founded in 1870 and is headquartered in Clermont-l'H?rault, France."
14,2020-12-31,ALNN6.PA,EUR,2020-12-31,2020-12-31,2020,FY,10528000,2823000,4458000,-4820000,28000,617000,-5745000,-5580000,-0.457826748,2020-12-31,9462000,8409000,17871000,12188000,10438000,22626000,-4755000,17871000,1322000,29000,-1458000,1894000,1772000,ENENSYS Technologies SA,,33 1 70 72 51 70,https://www.enensys.com,,Cesson-S??vign??,FR,4A rue des Buttes,35577,Technology,EURONEXT,Paris,"ENENSYS Technologies SA designs and manufactures digital television (TV) transmission and terrestrial broadcasting systems. The company provides broadcasting network equipment for digital terrestrial TV, targeted content insertion, switching, and Internet-protocol (IP) transportation; long-term evolution (LTE) broadcasting technology for backpack and footprint networks; and software for enabling video delivery over broadcasting and telecommunication networks. Additionally, it offers AdsEdge, targeted content server and splicer; ATSCheduler, broadcast gateway; DTTCaster for HDc, terrestrial demodulator; and IPGuardV2, IP stream switches. ENENSYS Technologies SA was founded in 2004 and is headquartered in Cesson-Sevigne, France."
15,2019-12-31,ALNN6.PA,EUR,2019-12-31,2019-12-31,2019,FY,12990000,3075000,9569000,-17220000,24000,617000,-17861000,-19589000,-1.325635104,2019-12-31,14565000,12218000,26783000,8681000,16360000,25041000,1742000,26783000,-9392000,-3191000,1469000,13005000,1894000,ENENSYS Technologies SA,,33 1 70 72 51 70,https://www.enensys.com,,Cesson-S??vign??,FR,4A rue des Buttes,35577,Technology,EURONEXT,Paris,"ENENSYS Technologies SA designs and manufactures digital television (TV) transmission and terrestrial broadcasting systems. The company provides broadcasting network equipment for digital terrestrial TV, targeted content insertion, switching, and Internet-protocol (IP) transportation; long-term evolution (LTE) broadcasting technology for backpack and footprint networks; and software for enabling video delivery over broadcasting and telecommunication networks. Additionally, it offers AdsEdge, targeted content server and splicer; ATSCheduler, broadcast gateway; DTTCaster for HDc, terrestrial demodulator; and IPGuardV2, IP stream switches. ENENSYS Technologies SA was founded in 2004 and is headquartered in Cesson-Sevigne, France."
16,2020-12-31,CA.PA,EUR,2020-12-31,2020-12-31,2020,FY,72150000000,56705000000,2700000000,2156000000,6000000,302000000,1351000000,641000000,0.02988219,2020-12-31,17473000000,30115000000,47588000000,21342000000,14949000000,36291000000,11297000000,47588000000,3395000000,-1841000000,-1126000000,4466000000,4439000000,Carrefour SA,Mr. Alexandre Bompard,33164505000,https://www.carrefour.com,ILE-DE-FRANCE,Massy,FR,93 Avenue de Paris,91300,Consumer Defensive,EURONEXT,Paris,"Carrefour SA operates stores in various formats and channels in France, Spain, Italy, Belgium, Poland, Romania, Brazil, Argentina, and Taiwan. The company operates hypermarkets, convenience stores, supermarkets, cash and carry stores, and hypercash stores; e-commerce sites and m-commerce channels; and service stations. Its stores offer fresh produce; local products; consumer goods; and non-food products, including small household goods, textiles, and home appliances. The company is also involved in banking, insurance, property development, and franchise activities; the provision of travel agency services; and the rental of shopping malls. Carrefour SA was founded in 1959 and is based in Massy, France."
17,2019-12-31,CA.PA,EUR,2019-12-31,2019-12-31,2019,FY,74142000000,58054000000,3081000000,2069000000,9000000,353000000,722000000,1129000000,0.02790591,2019-12-31,18875000000,31927000000,50802000000,23061000000,16065000000,39126000000,11676000000,50802000000,3247000000,-1013000000,-1987000000,4300000000,4466000000,Carrefour SA,Mr. Alexandre Bompard,33164505000,https://www.carrefour.com,ILE-DE-FRANCE,Massy,FR,93 Avenue de Paris,91300,Consumer Defensive,EURONEXT,Paris,"Carrefour SA operates stores in various formats and channels in France, Spain, Italy, Belgium, Poland, Romania, Brazil, Argentina, and Taiwan. The company operates hypermarkets, convenience stores, supermarkets, cash and carry stores, and hypercash stores; e-commerce sites and m-commerce channels; and service stations. Its stores offer fresh produce; local products; consumer goods; and non-food products, including small household goods, textiles, and home appliances. The company is also involved in banking, insurance, property development, and franchise activities; the provision of travel agency services; and the rental of shopping malls. Carrefour SA was founded in 1959 and is based in Massy, France."
18,2020-12-31,OPN.PA,EUR,2020-12-31,2020-12-31,2020,FY,296200000,188500000,0,12600000,0,800000,10600000,3400000,0.042538825,2020-12-31,103400000,152500000,255800000,112300000,27100000,139400000,116400000,255800000,28400000,-13800000,-8200000,28000000,34400000,Groupe Open,Mr. Frederic Sebag,33171063128,https://www.open.global,ILE-DE-FRANCE,Levallois-Perret,FR,"Carre Champeret, 28 rue Jacques Ibert",92309,Technology,EURONEXT,Paris,"Groupe Open engages in digital and industrial transformation business in France, Romania, the Netherlands, and Luxembourg. The company offers consultancy for technology and digital transformation, application management, and DevOps transformation. It is also involved in the project management assistance, design and conception of services, application development, application portfolio management, integrating solution, test and acceptance, continuous deployment and integration, infrastructure management, and user and application support activities, as well as provision of agility, DevOps, and automation services. In addition, the company offers IZBERG,a SaaS platform that manages elements and workflows related to the project; FullMaps, a cartography solution; MoodPeek, a solution for analysing the opinions of mobile users; Swizi, a solution for creating and managing mobile applications; XLoan, a financing solution; Primpromo, a solution for property developers; and Fast-IT technological platform. It serves the banking, insurance, finance, services and transportation, energy, industrial, telecom, media, commerce, and distribution markets, as well as public sector. The company was founded in 1989 and is headquartered in Levallois-Perret, France."
19,2019-12-31,OPN.PA,EUR,2019-12-31,2019-12-31,2019,FY,303900000,157600000,0,12100000,0,900000,11100000,2400000,0.039815729,2019-12-31,102600000,145800000,248300000,100700000,34800000,135500000,112800000,248300000,16400000,-5300000,-15000000,32200000,28200000,Groupe Open,Mr. Frederic Sebag,33171063128,https://www.open.global,ILE-DE-FRANCE,Levallois-Perret,FR,"Carre Champeret, 28 rue Jacques Ibert",92309,Technology,EURONEXT,Paris,"Groupe Open engages in digital and industrial transformation business in France, Romania, the Netherlands, and Luxembourg. The company offers consultancy for technology and digital transformation, application management, and DevOps transformation. It is also involved in the project management assistance, design and conception of services, application development, application portfolio management, integrating solution, test and acceptance, continuous deployment and integration, infrastructure management, and user and application support activities, as well as provision of agility, DevOps, and automation services. In addition, the company offers IZBERG,a SaaS platform that manages elements and workflows related to the project; FullMaps, a cartography solution; MoodPeek, a solution for analysing the opinions of mobile users; Swizi, a solution for creating and managing mobile applications; XLoan, a financing solution; Primpromo, a solution for property developers; and Fast-IT technological platform. It serves the banking, insurance, finance, services and transportation, energy, industrial, telecom, media, commerce, and distribution markets, as well as public sector. The company was founded in 1989 and is headquartered in Levallois-Perret, France."
20,2021-12-31,SLB.PA,USD,2021-12-31,2021-12-31,2021,FY,22929000000,19271000000,339000000,2765000000,148000000,539000000,2374000000,1881000000,0.120589646,2021-12-31,12654000000,28857000000,41511000000,10359000000,15866000000,26225000000,15286000000,41511000000,4651000000,-919000000,-2824000000,844000000,1757000000,Schlumberger Limited,Mr. Olivier Le Peuch,17135132000,https://www.slb.com,TEXAS,Houston,US,5599 San Felipe St Fl 17,77056,Energy,EURONEXT,Paris,"Schlumberger Limited provides technology for the energy industry worldwide. The company operates through four divisions: Digital & Integration, Reservoir Performance, Well Construction, and Production Systems. It offers software, information management, and IT infrastructure services; consulting services for reservoir characterization, field development planning, and production enhancement; petro technical data services and training solutions; reservoir interpretation and data processing services; asset performance solutions; open and cased-hole services; exploration and production pressure and flow-rate measurement services; pressure pumping, well stimulation, and coiled tubing equipment for downhole mechanical well intervention, reservoir monitoring, and downhole data acquisition; and integrated production systems. The company also provides mud logging and engineering support services; drilling equipment and services for shipyards, drilling contractors, energy companies, and rental tool companies; land drilling rigs and related services; drilling tools; well cementing products and services; and well planning and drilling, engineering, supervision, logistics, procurement, contracting, and drilling rig management services, as well as supplies engineered drilling fluid systems; and designs, manufactures, and markets roller cone and fixed cutter drill bits. In addition, it offers well completion services and equipment; artificial lift production equipment and optimization services; valves; process systems; and integrated subsea production systems comprising wellheads, subsea trees, manifolds and flowline connectors, control systems, connectors, and services, as well as designs and manufactures onshore and offshore platform wellhead systems and processing solutions. The company was formerly known as Socie¢¥te¢¥ de Prospection E¢¥lectrique. Schlumberger Limited was founded in 1926 and is based in Houston, Texas."
21,2020-12-31,SLB.PA,USD,2020-12-31,2020-12-31,2020,FY,23601000000,21000000000,365000000,1656000000,33000000,563000000,-11298000000,-10518000000,0.070166518,2020-12-31,12919000000,29515000000,42434000000,10491000000,19454000000,29945000000,12489000000,42434000000,2944000000,-2353000000,-873000000,1137000000,844000000,Schlumberger Limited,Mr. Olivier Le Peuch,17135132000,https://www.slb.com,TEXAS,Houston,US,5599 San Felipe St Fl 17,77056,Energy,EURONEXT,Paris,"Schlumberger Limited provides technology for the energy industry worldwide. The company operates through four divisions: Digital & Integration, Reservoir Performance, Well Construction, and Production Systems. It offers software, information management, and IT infrastructure services; consulting services for reservoir characterization, field development planning, and production enhancement; petro technical data services and training solutions; reservoir interpretation and data processing services; asset performance solutions; open and cased-hole services; exploration and production pressure and flow-rate measurement services; pressure pumping, well stimulation, and coiled tubing equipment for downhole mechanical well intervention, reservoir monitoring, and downhole data acquisition; and integrated production systems. The company also provides mud logging and engineering support services; drilling equipment and services for shipyards, drilling contractors, energy companies, and rental tool companies; land drilling rigs and related services; drilling tools; well cementing products and services; and well planning and drilling, engineering, supervision, logistics, procurement, contracting, and drilling rig management services, as well as supplies engineered drilling fluid systems; and designs, manufactures, and markets roller cone and fixed cutter drill bits. In addition, it offers well completion services and equipment; artificial lift production equipment and optimization services; valves; process systems; and integrated subsea production systems comprising wellheads, subsea trees, manifolds and flowline connectors, control systems, connectors, and services, as well as designs and manufactures onshore and offshore platform wellhead systems and processing solutions. The company was formerly known as Socie¢¥te¢¥ de Prospection E¢¥lectrique. Schlumberger Limited was founded in 1926 and is based in Houston, Texas."
22,2021-12-31,ENGI.PA,EUR,2021-12-31,2021-12-31,2021,FY,57866000000,38861000000,0,5797000000,188000000,971000000,5371000000,3661000000,0.100179726,2021-12-31,1.07915E+11,1.17418E+11,2.25333E+11,95019000000,88335000000,1.83354E+11,41979000000,2.25333E+11,7312000000,-11042000000,4848000000,12980000000,13890000000,ENGIE SA,Ms. Isabelle Kocher,33144220000,https://www.engie.com,ILE-DE-FRANCE,Paris,FR,"1, place Samuel de Champlain",92400,Utilities,EURONEXT,Paris,"ENGIE SA engages in the power, natural gas, and energy services businesses. It operates through Renewables, Networks, Energy Solutions, Thermal, Supply, Nuclear, and Others segments. The Renewables segment comprises renewable energy generation activities, including financing, construction, operation, and maintenance of renewable energy facilities using various energy sources, such as hydroelectric, onshore wind, photovoltaic solar, biomass, offshore wind, and geothermal. The Networks segment comprises the electricity and gas infrastructure activities and projects, including the management and development of gas and electricity transportation networks and natural gas distribution networks in and outside of Europe, natural gas underground storage in Europe, and regasification infrastructure in France and Chile. The Energy Solutions encompasses the construction and management of decentralized energy networks to produce low-carbon energy and related services. The Thermal segment encompasses power generation activities using thermal assets; operation of power plants fueled mainly by gas or coal, as well as pump -operated storage plants; and financing, construction, and operation of desalination plants, as well as the development of hydrogen production. The Supply segment engages in the sale of gas and electricity to professional, individual, and residential clients. The Nuclear segment engages in the nuclear power generation activities. The company was formerly known as GDF SUEZ S.A. and changed its name to ENGIE SA in April 2015. The company was founded in 1880 and is headquartered in Courbevoie, France."
23,2020-12-31,ENGI.PA,EUR,2020-12-31,2020-12-31,2020,FY,55750000000,34967000000,0,3712000000,225000000,934000000,-176000000,-1536000000,0.06658296,2020-12-31,60087000000,93095000000,1.53182E+11,54034000000,65292000000,1.19326E+11,33856000000,1.53182E+11,7589000000,-4046000000,-562000000,10519000000,12980000000,ENGIE SA,Ms. Isabelle Kocher,33144220000,https://www.engie.com,ILE-DE-FRANCE,Paris,FR,"1, place Samuel de Champlain",92400,Utilities,EURONEXT,Paris,"ENGIE SA engages in the power, natural gas, and energy services businesses. It operates through Renewables, Networks, Energy Solutions, Thermal, Supply, Nuclear, and Others segments. The Renewables segment comprises renewable energy generation activities, including financing, construction, operation, and maintenance of renewable energy facilities using various energy sources, such as hydroelectric, onshore wind, photovoltaic solar, biomass, offshore wind, and geothermal. The Networks segment comprises the electricity and gas infrastructure activities and projects, including the management and development of gas and electricity transportation networks and natural gas distribution networks in and outside of Europe, natural gas underground storage in Europe, and regasification infrastructure in France and Chile. The Energy Solutions encompasses the construction and management of decentralized energy networks to produce low-carbon energy and related services. The Thermal segment encompasses power generation activities using thermal assets; operation of power plants fueled mainly by gas or coal, as well as pump -operated storage plants; and financing, construction, and operation of desalination plants, as well as the development of hydrogen production. The Supply segment engages in the sale of gas and electricity to professional, individual, and residential clients. The Nuclear segment engages in the nuclear power generation activities. The company was formerly known as GDF SUEZ S.A. and changed its name to ENGIE SA in April 2015. The company was founded in 1880 and is headquartered in Courbevoie, France."
24,2021-12-31,VIV.PA,EUR,2021-12-31,2021-12-31,2021,FY,9572000000,5360000000,3619000000,593000000,9000000,75000000,-320000000,24692000000,0.061951525,2021-12-31,10721000000,22646000000,33367000000,8798000000,5375000000,14173000000,19194000000,33367000000,1637000000,-3752000000,4434000000,976000000,3328000000,Vivendi SE,Mr. Arnaud Nicolas de Puyfontaine,33171713280,https://www.vivendi.com,ILE-DE-FRANCE,Paris,FR,"Paris Cedex 08, 42 avenue de Friedland",75380,Communication Services,EURONEXT,Paris,"Vivendi SE operates as a entertainment, media, and communication company in France, the rest of Europe, the Americas, Asia/Oceania, and Africa. It operates through Canal+ Group, Havas Group, Editis, Prisma Media, Gameloft, Vivendi Village, Corporate, and New Initiative segments. The Canal+ Group segment publishes and distributes premium and thematic pay-TV and free-to-air channels; and produces, sells, and distributes movies and TV series. The Havas Group segment includes communications disciplines, such as creativity, media expertise, and healthcare/wellness. The Editis segment engages in the publishing of literature, educational, and reference books, as well as selling and distribution of books. The Prisma Media segment publishes online videos. The Gameloft segment engages in the creation and publishing of downloadable video games for mobile phones, tablets, triple-play boxes, and smart TVs. The Vivendi Village segment provides ticketing services and live performances through Olympia production, festival production, and venues. The Corporate segment offers centralized services. The New Initiative segment operates Dailymotion, a video content aggregation and distribution platform, as well as develops ultra-high-speed Internet service. Vivendi SA was founded in 1853 and is headquartered in Paris, France."
25,2020-12-31,VIV.PA,EUR,2020-12-31,2020-12-31,2020,FY,16090000000,8812000000,5685000000,1593000000,15000000,95000000,2182000000,1440000000,0.099005594,2020-12-31,8433000000,29689000000,38122000000,13308000000,8383000000,21691000000,16431000000,38122000000,1226000000,-1645000000,-675000000,2130000000,976000000,Vivendi SE,Mr. Arnaud Nicolas de Puyfontaine,33171713280,https://www.vivendi.com,ILE-DE-FRANCE,Paris,FR,"Paris Cedex 08, 42 avenue de Friedland",75380,Communication Services,EURONEXT,Paris,"Vivendi SE operates as a entertainment, media, and communication company in France, the rest of Europe, the Americas, Asia/Oceania, and Africa. It operates through Canal+ Group, Havas Group, Editis, Prisma Media, Gameloft, Vivendi Village, Corporate, and New Initiative segments. The Canal+ Group segment publishes and distributes premium and thematic pay-TV and free-to-air channels; and produces, sells, and distributes movies and TV series. The Havas Group segment includes communications disciplines, such as creativity, media expertise, and healthcare/wellness. The Editis segment engages in the publishing of literature, educational, and reference books, as well as selling and distribution of books. The Prisma Media segment publishes online videos. The Gameloft segment engages in the creation and publishing of downloadable video games for mobile phones, tablets, triple-play boxes, and smart TVs. The Vivendi Village segment provides ticketing services and live performances through Olympia production, festival production, and venues. The Corporate segment offers centralized services. The New Initiative segment operates Dailymotion, a video content aggregation and distribution platform, as well as develops ultra-high-speed Internet service. Vivendi SA was founded in 1853 and is headquartered in Paris, France."
